metric,time,cores,i_rep
SPIKE,169.5216999053955,1,0
RISPIKE,113.301260471344,1,0
SpikeShip,104.02675485610962,1,0
SPIKE,169.36240410804749,1,1
RISPIKE,113.14033889770508,1,1
SpikeShip,104.04802680015564,1,1
SPIKE,169.4009358882904,1,2
RISPIKE,113.15026235580444,1,2
SpikeShip,104.02319478988647,1,2
SPIKE,169.46503019332886,1,3
RISPIKE,113.14063620567322,1,3
SpikeShip,104.05305886268616,1,3
SPIKE,169.29057359695435,1,4
RISPIKE,113.13840365409851,1,4
SpikeShip,104.03324174880981,1,4
SPIKE,169.5184895992279,1,5
RISPIKE,113.1401879787445,1,5
SpikeShip,104.0416247844696,1,5
SPIKE,169.37949657440186,1,6
RISPIKE,113.15476965904236,1,6
SpikeShip,104.00309109687805,1,6
SPIKE,169.3742709159851,1,7
RISPIKE,113.14749789237976,1,7
SpikeShip,103.99586415290833,1,7
SPIKE,169.39497351646423,1,8
RISPIKE,113.14217329025269,1,8
SpikeShip,104.05351495742798,1,8
SPIKE,169.36975765228271,1,9
RISPIKE,113.14212203025818,1,9
SpikeShip,104.06633305549622,1,9
SPIKE,135.10457158088684,2,0
RISPIKE,65.84988594055176,2,0
SpikeShip,71.04887080192566,2,0
SPIKE,135.4677164554596,2,1
RISPIKE,65.44813275337219,2,1
SpikeShip,71.42240715026855,2,1
SPIKE,135.3326690196991,2,2
RISPIKE,65.41115379333496,2,2
SpikeShip,71.1168167591095,2,2
SPIKE,135.46817588806152,2,3
RISPIKE,65.3872766494751,2,3
SpikeShip,72.17504143714905,2,3
SPIKE,135.3035659790039,2,4
RISPIKE,65.38909864425659,2,4
SpikeShip,71.14203000068665,2,4
SPIKE,135.43024230003357,2,5
RISPIKE,65.5011076927185,2,5
SpikeShip,72.03980946540833,2,5
SPIKE,135.35143184661865,2,6
RISPIKE,65.44616508483887,2,6
SpikeShip,71.55130004882812,2,6
SPIKE,135.39814257621765,2,7
RISPIKE,65.39167666435242,2,7
SpikeShip,71.85925006866455,2,7
SPIKE,135.3895401954651,2,8
RISPIKE,65.46642923355103,2,8
SpikeShip,71.86147975921631,2,8
